Folder Name,Creation Date,Field,Type
TWT gmbh,2024-01-08,Tech,Full time
iabg,2024-01-08,Tech,Full time
sopra steria,2024-01-08,Tech,Full time
zeiss,2024-01-08,Tech,Full time
bridingIT,2024-01-12,Tech,Full time
TWT 2,2024-01-12,Tech,Full time
athrex,2024-01-12,Tech,Full time
bmw,2024-01-12,Tech,Full time
New folder,2024-01-12,Tech,Full time
bwi gmbh,2024-01-14,Tech,Full time
adac,2024-01-14,Tech,Full time
ratbacher,2024-01-14,Tech,Full time
tuv,2024-01-14,Tech,Full time
twt (nature scientist),2024-01-14,Tech,Full time
yieldlove,2024-01-19,Tech,Full time
sparkasse rating and risk,2024-01-19,Tech,Full time
invenio,2024-01-19,Tech,Full time
ceteq,2024-01-19,Tech,Full time
scheidt Bachmann,2024-01-21,Tech,Full time
ratbacher_2,2024-01-21,Tech,Full time
top itservices AG,2024-01-21,Tech,Full time
zeppelin rental gmbh,2024-01-29,Tech,Full time
rtl2 fernsehen,2024-01-29,Tech,Full time
laic,2024-01-30,Tech,Full time
hensoldt,2024-01-30,Tech,Full time
enervis energy advisors,2024-01-31,Tech,Full time
heinemann,2024-01-31,Tech,Full time
chrono24,2024-01-31,Tech,Full time
see se,2024-01-31,Tech,Full time
weeze,2024-01-31,Tech,Full time
jt ronnefeldt kg,2024-01-31,Tech,Full time
mzv moderner,2024-01-31,Tech,Full time
climatiq,2024-02-01,Tech,Full time
plan D,2024-02-01,Tech,Full time
sima.ai,2024-02-10,Tech,Full time
adesso se,2024-02-10,Tech,Full time
blue yondre,2024-02-10,Tech,Full time
kienbaum,2024-02-13,Tech,Full time
huk-coburg,2024-02-13,Tech,Full time
tui cruises,2024-02-13,Tech,Full time
mindfuel,2024-02-13,Tech,Full time
halm,2024-02-14,Tech,Full time
building minds,2024-02-14,Tech,Full time
techrizon,2024-02-14,Tech,Full time
lyft,2024-02-14,Tech,Full time
hannover_job,2024-03-01,Tech,Full time
climatiq2,2024-03-02,Tech,Full time
blue yonder2,2024-03-04,Tech,Full time
veeva,2024-03-04,Tech,Full time
linde,2024-03-04,Tech,Full time
mapp,2024-03-04,Tech,Full time
ptv group,2024-03-05,Tech,Full time
elobau,2024-03-05,Tech,Full time
toll collect gmbh,2024-03-05,Tech,Full time
deutsche post,2024-03-05,Tech,Full time
infectopharm,2024-03-05,Tech,Full time
arag se,2024-03-05,Tech,Full time
heidelberg materials ag,2024-03-05,Tech,Full time
lowell group,2024-03-05,Tech,Full time
rewe group,2024-01-02,Tech,Part time
shufa,2024-01-02,Tech,Part time
bayernwerk netz,2024-01-02,Tech,Part time
mercedes beny,2024-01-02,Tech,Part time
studyflix,2024-01-15,Tech,Part time
asmpt,2024-01-19,Tech,Part time
New folder,2024-01-21,Tech,Part time
mercedes benz 2 (werkstudent),2024-01-21,Tech,Part time
w and w,2024-01-30,Tech,Part time
munich re,2024-01-30,Tech,Part time
sopra steria2,2024-01-30,Tech,Part time
siemens energz,2024-03-02,Tech,Part time
munich re,2024-03-03,Climate Tech,Full time
dg nexolution,2024-03-04,Climate Tech,Full time
redmondis,2024-03-04,Climate Tech,Full time
AFRY,2023-07-29,Sustainability,Full time
airbus,2023-07-29,Sustainability,Full time
atos,2023-07-29,Sustainability,Full time
baywa,2023-07-29,Sustainability,Full time
bertrandt,2023-07-29,Sustainability,Full time
bertrandt2,2023-07-29,Sustainability,Full time
brose,2023-07-29,Sustainability,Full time
dassault,2023-07-29,Sustainability,Full time
digitall,2023-07-29,Sustainability,Full time
evonik,2023-07-29,Sustainability,Full time
Fraunhofer,2023-07-29,Sustainability,Full time
gerresheimer,2023-07-29,Sustainability,Full time
hoffman,2023-07-29,Sustainability,Full time
kion,2023-07-29,Sustainability,Full time
kiutra,2023-07-29,Sustainability,Full time
lilium,2023-07-29,Sustainability,Full time
max bogl group,2023-07-29,Sustainability,Full time
mtu aero engines,2023-07-29,Sustainability,Full time
omnicom,2023-07-29,Sustainability,Full time
ramboll,2023-07-29,Sustainability,Full time
siemens,2023-07-29,Sustainability,Full time
siemens2,2023-07-29,Sustainability,Full time
swiss,2023-07-29,Sustainability,Full time
